job_title,job_description,skills,category,location
"data analyst","analyze business data build dashboards with sql python tableau statistics data cleaning reporting stakeholder communication","sql;python;tableau;excel;statistics;data visualization;data cleaning","data analytics","remote united states"
"business intelligence analyst","create executive dashboards define metrics automate reports with power bi sql data modeling and stakeholder management","sql;power bi;excel;data visualization;stakeholder management;forecasting","data analytics","new york ny"
"marketing data analyst","measure campaign performance clean customer data run attribution analysis using sql python google analytics and dashboards","sql;python;google analytics;excel;statistics;data visualization","data analytics","austin tx"
"product data analyst","partner with product teams analyze funnels define experiments and communicate insights using sql python and statistics","sql;python;statistics;product management;data visualization;stakeholder management","data analytics","san francisco ca"
"financial data analyst","prepare financial reports automate variance analysis and model forecasts using excel sql python and dashboard tools","excel;sql;python;financial modeling;forecasting;data visualization","finance","chicago il"
"healthcare data analyst","analyze clinical data quality utilization trends and ehr datasets using sql python statistics and healthcare analytics","sql;python;statistics;healthcare analytics;data cleaning","healthcare tech","boston ma"
"operations analyst","improve logistics metrics build reports model capacity and automate operations analysis with excel sql and python","excel;sql;python;supply chain;forecasting;data visualization","operations","seattle wa"
"sales operations analyst","maintain crm reporting forecast pipeline health and analyze revenue trends with salesforce sql excel and dashboards","crm;sql;excel;forecasting;data visualization;stakeholder management","sales","denver co"
"people analytics analyst","analyze workforce data build retention dashboards and present insights using excel sql statistics and storytelling","excel;sql;statistics;data visualization;stakeholder management","human resources","atlanta ga"
"risk data analyst","monitor business risk trends create controls dashboards and analyze incidents using sql python and risk assessment","sql;python;risk assessment;statistics;data visualization","finance","charlotte nc"
"machine learning engineer","build train and deploy machine learning models using python scikit learn pandas docker apis and cloud services","python;machine learning;scikit learn;pandas;docker;api design;aws","machine learning","remote united states"
"ai engineer","develop nlp and deep learning systems with python pytorch transformers model evaluation and production api deployment","python;nlp;deep learning;pytorch;machine learning;api design;docker","machine learning","san jose ca"
"data scientist","create predictive models perform feature engineering run experiments and communicate findings using python sql statistics and machine learning","python;sql;statistics;machine learning;pandas;scikit learn;data visualization","machine learning","new york ny"
"nlp engineer","build text classification search and language model pipelines using python nlp transformers pytorch and evaluation metrics","python;nlp;pytorch;deep learning;machine learning;api design","machine learning","remote united states"
"computer vision engineer","design image processing and object detection systems using python opencv pytorch deep learning and cloud deployment","python;computer vision;pytorch;deep learning;machine learning;docker","machine learning","los angeles ca"
"mlops engineer","operate model pipelines automate training deploy models with docker kubernetes ci cd monitoring and aws infrastructure","python;machine learning;docker;kubernetes;ci cd;aws;devops","machine learning","seattle wa"
"research data scientist","prototype algorithms evaluate experiments write analysis and translate research into machine learning products with python","python;machine learning;statistics;deep learning;pytorch;scikit learn","machine learning","boston ma"
"recommendation systems engineer","build ranking personalization and recommender models using python machine learning experimentation and scalable data pipelines","python;machine learning;statistics;api design;aws;pandas","machine learning","san francisco ca"
"gen ai application engineer","create ai assistants retrieval workflows and prompt powered applications using python nlp vector search and api services","python;nlp;machine learning;fastapi;api design;aws","machine learning","austin tx"
"bioinformatics data scientist","analyze genomics and clinical datasets build predictive models using python statistics machine learning and bioinformatics tools","python;statistics;machine learning;bioinformatics;data cleaning","healthcare tech","cambridge ma"
"frontend developer","build responsive web interfaces using react javascript typescript html css accessibility and api integration","react;javascript;typescript;html;css;accessibility;api design","software engineering","remote united states"
"react developer","implement component driven applications manage state integrate restful apis and polish user experiences with react and typescript","react;typescript;javascript;html;css;api design;accessibility","software engineering","new york ny"
"ui engineer","translate design systems into accessible production interfaces using react typescript css figma and frontend testing","react;typescript;css;figma;accessibility;ui design","software engineering","san francisco ca"
"full stack developer","build end to end web features with react node.js express sql api design testing and cloud deployment","react;node.js;express;sql;javascript;api design;aws","software engineering","austin tx"
"backend developer","design reliable apis database workflows and services using python flask sql docker and cloud infrastructure","python;flask;sql;api design;docker;aws;microservices","software engineering","chicago il"
"python backend engineer","develop scalable backend systems with python django fastapi sql celery docker and observability practices","python;django;fastapi;sql;docker;api design;site reliability","software engineering","remote united states"
"java software engineer","build enterprise services using java spring boot sql microservices api design docker and agile delivery","java;spring boot;sql;microservices;api design;docker;agile","software engineering","dallas tx"
"dotnet developer","create business applications and apis using c# .net sql azure testing and secure coding practices","c#;sql;azure;api design;security;quality assurance","software engineering","minneapolis mn"
"golang engineer","build high performance services with go microservices kubernetes docker linux and observability tooling","go;microservices;kubernetes;docker;linux;site reliability","software engineering","seattle wa"
"rust systems engineer","develop safe high performance services using rust linux distributed systems api design and testing","rust;linux;api design;quality assurance;microservices","software engineering","portland or"
"devops engineer","automate infrastructure and release pipelines using docker kubernetes terraform aws linux ci cd and monitoring","docker;kubernetes;terraform;aws;linux;ci cd;devops;grafana","cloud computing","remote united states"
"cloud engineer","design cloud infrastructure deploy services and manage networking identity storage automation using aws terraform and linux","aws;terraform;linux;docker;kubernetes;devops;security","cloud computing","phoenix az"
"site reliability engineer","improve service reliability incident response observability capacity and automation with kubernetes prometheus grafana and linux","site reliability;kubernetes;prometheus;grafana;linux;incident response;devops","cloud computing","san francisco ca"
"aws solutions architect","design secure scalable cloud architectures using aws networking containers databases terraform and stakeholder communication","aws;terraform;docker;kubernetes;security;stakeholder management","cloud computing","new york ny"
"azure cloud administrator","manage azure cloud resources identity monitoring security backups and automation for enterprise applications","azure;security;linux;devops;terraform;site reliability","cloud computing","chicago il"
"platform engineer","build internal developer platforms with kubernetes terraform ci cd observability and reusable service templates","kubernetes;terraform;ci cd;docker;devops;site reliability","cloud computing","remote united states"
"release engineer","own build systems release automation deployment quality and rollback processes using ci cd linux and scripting","ci cd;linux;devops;quality assurance;docker","cloud computing","raleigh nc"
"infrastructure engineer","operate compute networks storage and automation using linux aws terraform monitoring and incident response","linux;aws;terraform;site reliability;incident response;security","cloud computing","denver co"
"cloud security engineer","secure cloud workloads implement controls monitor threats and harden aws environments with terraform and siem tools","aws;security;terraform;siem;risk assessment;incident response","cybersecurity","washington dc"
"kubernetes administrator","maintain clusters configure workloads troubleshoot deployments and automate operations using kubernetes docker linux and monitoring","kubernetes;docker;linux;prometheus;grafana;devops","cloud computing","remote united states"
"cybersecurity analyst","monitor alerts investigate threats tune siem detections and support incident response risk assessment and reporting","security;siem;incident response;risk assessment;network security","cybersecurity","remote united states"
